%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-380.451,854.8436,0
232.25073,371.03027,1
-981.5675,981.4586,0
217.99524,640.42786,1
-155.2154,415.05164,1
-857.42444,789.8699,0
-552.0774,-46.052307,0
572.7931,0.4804077,1
-800.2657,-785.71265,0
-309.40656,166.90051,1
-679.6454,-565.8279,1
-284.4547,180.6604,1
-561.76526,432.93262,0
-270.5321,936.0867,0
708.8838,-568.85315,1
-599.66345,913.78796,0
-822.1111,-123.51062,0
-754.82385,-832.5382,1
997.65283,422.44507,1
276.73108,72.972534,1
93.610596,-228.62659,1
146.27576,294.34888,1
-75.48157,220.36523,1
225.0105,-920.4424,1
-907.2638,-562.2173,0
-540.9342,219.60864,0
-265.74927,250.32996,1
288.21216,-212.24823,1
-145.48346,34.954346,1
-564.0427,121.230225,0
75.020386,686.82825,1
-41.216614,-583.7447,1
-383.19934,-925.87915,1
584.8629,-222.42651,1
-229.01666,392.21436,1
77.6615,597.1974,1
-407.27527,894.4796,0
127.421265,732.5779,1
103.77637,103.67529,1
103.59338,112.69495,1
-99.78131,-202.51282,1
893.86475,-878.74994,1
735.7372,-186.31885,1
-989.49335,389.34595,0
387.14185,-965.2081,1
162.34668,475.7412,1
-92.33978,-210.77283,1
-429.25433,320.9707,0
-765.1378,-654.8843,0
450.5393,-667.67126,1
-956.09875,-824.81573,0
281.98315,489.91052,1
-276.91095,-764.60016,1
767.3135,959.61316,1
397.6422,627.06726,1
-304.3778,357.20142,1
38.77478,-298.47528,1
-667.68567,-971.75616,1
869.1316,-81.46515,1
404.49963,-508.0697,1
-488.1056,583.9182,0
-728.7538,-457.51532,0
-370.29138,-31.065857,1
447.70337,-589.9117,1
-839.0801,253.3634,0
-705.32385,-146.06573,0
-315.57202,-763.7995,1
390.3169,-906.76483,1
930.7975,822.3197,1
-131.82849,77.710815,1
6.0946045,920.4275,1
835.9026,-242.71619,1
506.24292,-422.93036,1
-118.41699,731.41614,1
-626.4773,-76.5827,0
-370.46228,941.72095,0
-916.8332,-173.9989,0
-674.7144,917.1898,0
-453.16986,-990.4741,1
509.21326,489.5741,1
-18.957153,859.3425,1
-18.81018,-132.83221,1
-87.41748,113.11401,1
-536.5892,-511.56195,1
479.02942,-784.34076,1
636.3364,-827.3451,1
231.59741,-762.0824,1
-447.3319,-257.12616,1
-241.33978,-49.57495,1
-173.11401,-482.672,1
622.2228,-106.35089,1
-547.0537,-151.508,1
335.91345,-898.018,1
-379.68268,234.77795,1
411.9016,515.14355,1
-521.38855,438.03308,0
865.4745,-949.79974,1
443.6455,510.70605,1
-10.1657715,-190.6402,1
-657.1564,-330.24268,0
700.0027,963.1504,1
-534.5266,-449.91394,1
293.55347,475.5526,1
413.28345,528.4569,1
-912.7844,-972.8993,0
-460.31085,-470.3957,1
-937.7783,243.92407,0
-279.26733,9.402893,1
387.60376,-344.84668,1
218.62036,-344.30927,1
-510.53494,-321.9297,1
-521.2829,755.53796,0
-804.41296,-630.17096,0
843.4601,148.45361,1
-591.44385,686.53467,0
371.72705,218.23071,1
-253.07367,-445.08435,1
219.77551,-528.17084,1
-357.24255,188.77893,1
-630.05237,911.90027,0
495.2024,771.8917,1
-114.08856,630.261,1
653.6389,-119.113464,1
-671.71045,-167.1734,0
-759.825,-163.7627,0
482.10254,852.21826,1
-879.8188,-453.68958,0
127.53491,-387.5428,1
690.83374,-651.05444,1
-771.8941,-519.1301,0
581.478,-143.02441,1
-384.5899,475.5238,0
845.95435,-121.45361,1
-982.8334,-607.7785,0
775.84924,-889.9475,1
-894.60284,573.28064,0
-925.0278,-511.04398,0
134.12866,-238.96667,1
809.1776,845.7106,1
691.0973,762.17834,1
-718.01416,-191.53638,0
105.50427,494.82727,1
-214.71777,-208.83374,1
133.95862,398.2832,1
35.702393,335.1687,1
-310.6872,-843.7016,1
-968.8605,76.337524,0
-417.81915,-782.242,1
48.138306,-825.81964,1
-487.4958,-305.55884,1
549.7666,166.41699,1
878.60876,873.7129,1
-115.11249,901.8928,1
363.77637,804.70483,1
833.5774,-543.3231,1
715.428,199.7428,1
-710.2307,752.6477,0
649.6013,238.48914,1
-328.97498,-25.18274,1
-606.52576,770.4602,0
6.668579,823.09753,1
-978.7276,-117.70575,0
79.34326,-863.828,1
-556.0292,-170.66125,1
481.38086,489.5802,1
680.7831,926.83484,1
-3.8010254,-2.9178467,1
