% SVM Simulator Generated Data
%
% attributes count = 2
% vectors count = 1000
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
952.5137,946.5165,1
-90.42755,661.063,1
-750.74097,860.70654,1
591.29895,-298.10394,1
22.66681,463.86426,1
-450.917,-952.6354,1
-292.96973,-550.4669,1
-762.2485,-396.3122,1
-988.80664,513.1128,1
-899.72894,-819.5559,1
827.34937,-324.46185,1
549.9038,-687.7926,1
266.67285,616.8036,1
186.16077,-850.6155,1
114.32593,-357.56128,1
-172.86578,995.4612,1
-32.917114,829.87085,1
-57.261963,-727.053,1
850.0232,887.94116,1
637.84985,-32.117615,1
-795.55914,311.6637,1
-538.7114,932.85425,1
797.3259,-474.35022,1
6.0253296,821.0392,1
323.47522,-116.55536,1
-482.03064,-121.122925,1
254.49182,-373.6447,1
-454.8675,-657.44836,1
834.63684,204.17163,1
-964.0779,-236.46533,1
31.700806,721.516,1
234.76819,231.02893,1
-278.2364,-302.6195,1
225.2445,164.22156,1
419.91443,-188.2569,1
-964.7048,-885.1606,1
-535.2884,861.97754,1
846.13,-149.42554,1
722.35583,763.1045,1
35.809692,-117.47333,1
-402.73608,99.756226,1
540.48865,554.8899,1
-581.07477,474.05725,1
-669.2562,832.683,1
120.63025,692.4498,1
677.3622,-996.5925,1
-466.13715,-304.1765,1
-679.5784,-348.90662,1
-407.1496,-938.86707,1
-342.55383,-533.7323,1
276.97034,889.0204,1
630.8745,-277.03656,1
-785.587,940.7833,1
122.029785,-416.03796,1
528.7053,-0.64178467,1
348.23462,788.04175,1
730.4031,602.8191,1
-988.33167,728.08167,1
239.45984,-464.7824,1
-236.98615,-553.5498,1
469.48975,758.41956,1
-80.10126,654.183,1
313.33582,829.91956,1
-680.4158,-476.96362,1
340.0681,-724.55286,1
-312.68793,704.57825,1
46.730713,-128.49933,1
966.17065,798.05676,1
-896.1338,-658.2208,1
-318.70502,318.8662,1
-307.95532,-417.195,1
600.66907,-887.99304,1
-252.66925,207.86292,1
706.7521,110.01428,1
216.82263,-65.29382,1
-192.39844,-647.5903,1
-728.8967,141.30835,1
993.1228,-736.1946,1
828.64294,-224.7279,1
581.5228,-669.6273,1
-282.0998,-273.67273,1
-796.9953,-480.5395,1
-663.9335,757.6843,1
-767.81195,-945.26965,1
