%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-848.3212,-453.54993,1
-85.92328,-729.82385,0
-515.9686,227.58032,1
-417.998,-903.444,0
-10.098877,-443.047,0
650.3351,-252.54791,0
-814.6893,-713.67737,1
352.79834,368.43225,1
-98.85907,-193.15973,1
-72.88452,-0.74676514,1
179.83118,232.00232,1
-952.8558,-417.2799,1
262.73535,74.502686,0
10.489197,327.24768,1
189.67627,435.50854,1
532.2411,-602.6962,0
206.07446,-623.17114,0
-49.431824,189.1206,1
909.3517,460.90234,0
-332.53772,-705.2366,0
-134.86157,-679.5204,0
728.022,-334.15436,0
285.1455,559.33167,1
-415.7688,-541.11206,1
-717.61707,287.26892,1
-705.72864,577.5166,1
205.74255,157.20618,1
-324.01703,22.40326,1
-395.214,898.964,1
263.17053,818.05054,1
486.90698,-966.04974,0
306.02173,-493.7713,0
-297.13086,-293.18353,1
511.99268,-20.923767,0
533.0436,-615.35913,0
-258.9143,770.5751,1
-154.49713,551.1373,1
449.52795,833.3191,1
558.4525,462.84827,0
-681.56714,-701.80536,1
563.31274,-463.7708,0
209.1095,-252.20447,0
751.0885,-1.0129395,0
-645.74066,-869.90125,0
-666.5045,65.986694,1
-475.62164,-402.8698,1
-738.36255,-910.5057,0
801.26404,274.05188,0
218.85876,885.47864,1
545.5996,-752.6933,0
400.7229,-247.8559,0
163.17041,-93.84204,0
93.897705,573.824,1
-645.6564,180.16663,1
927.05493,842.81287,0
-325.98053,185.84937,1
-409.28058,433.67432,1
434.34375,-671.0332,0
809.33374,529.00745,0
-749.9549,4.5914917,1
-602.3712,222.6156,1
856.3428,-304.6902,0
-655.2786,15.467773,1
-778.05444,488.61633,1
-956.81165,-328.1994,1
-565.2578,817.7584,1
16.692017,-282.84155,0
-644.63745,575.9967,1
-201.43652,-762.87384,0
613.86426,-337.55298,0
-24.924255,-425.04132,0
167.38098,-511.62692,0
-169.03278,28.266235,1
-658.3574,-993.9967,0
521.1068,-290.63293,0
-953.1385,-582.3528,1
241.01514,-639.1261,0
-311.44983,881.09094,1
-519.71045,107.52954,1
186.41919,247.95325,1
-883.19507,877.2656,1
469.5807,-845.11194,0
845.89355,538.9066,0
-166.14075,633.2208,1
-762.4688,680.8983,1
-372.90686,-189.18823,1
-424.10858,394.8899,1
870.88403,250.6394,0
-440.55066,-570.04626,0
-367.66644,3.8026733,1
-73.84741,647.6813,1
-773.1174,550.34143,1
-882.99927,835.3413,1
663.44604,-540.5182,0
202.7024,623.7483,1
-864.38354,-178.38934,1
471.911,-491.56732,0
817.7854,287.4912,0
-684.13715,787.1659,1
742.6122,895.9332,1
