% SVM Simulator Generated Data
%
% attributes count = 2
% vectors count = 1000
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-429.5868,245.224,0
-317.39233,607.463,0
-680.2384,-165.54364,0
539.01294,-919.5159,1
361.46057,-128.1087,1
-208.85974,124.024536,0
116.77319,940.92236,0
943.53455,-899.0738,1
-112.07007,-85.10986,1
938.8257,570.8644,0
-43.809265,-332.42743,1
991.88403,687.5316,0
450.81384,249.3617,0
-525.792,-530.9938,1
259.011,-706.1655,1
-200.70789,675.74536,0
248.92395,624.5039,0
-207.08081,-983.03766,1
642.1078,-700.87933,1
-871.9685,-545.0169,1
-501.0369,658.96387,0
62.031494,-511.49765,1
-29.993042,343.1466,0
-64.92798,469.48645,0
217.83154,-316.9655,1
-328.90625,244.80078,0
-270.95093,409.45667,0
869.07605,712.4663,0
-887.5256,185.46375,0
980.16455,243.77771,1
-580.74756,119.97058,0
-462.95178,346.34412,0
-477.41235,-877.3086,1
435.15588,429.44324,0
159.1886,-271.6364,1
-139.04968,81.90332,0
861.4918,-151.67554,1
620.7977,884.0609,0
-800.81714,800.09094,0
-655.4053,-550.83374,1
500.4873,-79.33472,1
-678.46155,125.93933,0
538.1531,86.87134,1
571.12854,-407.1947,1
-457.99524,546.10266,0
160.69104,435.66748,0
-660.6018,-396.55963,1
-248.57886,724.90454,0
426.8601,-83.81903,1
-111.86023,-406.3954,1
340.6493,-585.6128,1
-356.3324,867.88086,0
820.9297,-803.8422,1
-113.081604,-88.56354,1
953.6968,138.88684,1
664.52026,-979.6205,1
726.55676,422.86353,0
-31.026306,-59.38684,1
248.90393,681.14,0
512.0614,378.95618,0
264.00183,69.67493,1
-969.57526,740.478,0
-480.07812,-805.6658,1
-879.07153,-251.64325,0
68.249146,536.41614,0
-363.36652,-911.0979,1
623.91626,-214.06317,1
269.90674,-226.79132,1
746.48206,321.9984,1
107.39563,518.2356,0
792.62,-27.865417,1
-337.70166,-876.06384,1
341.54102,137.6112,1
172.5675,-440.6109,1
-890.4772,389.23096,0
-200.61664,269.71118,0
-753.3262,718.27893,0
768.43933,-923.1416,1
348.5121,769.81335,0
467.28394,971.2534,0
516.89343,590.5929,0
-954.8323,-922.498,1
369.27515,691.50415,0
157.54443,126.29089,0
22.254456,554.4336,0
155.58154,-124.111694,1
-235.22253,106.10681,0
241.73865,-899.5054,1
-611.6391,136.49377,0
-104.32947,999.021,0
956.12915,-843.04004,1
220.42078,176.69934,0
-830.582,-226.58276,0
767.07263,-286.74207,1
430.1499,-707.6876,1
866.7256,255.22253,1
199.14062,982.36255,0
531.87,-443.76617,1
314.9486,182.53027,0
584.938,438.09534,0
-435.16925,-723.19275,1
830.0071,-243.39844,1
-11.173706,-551.0488,1
804.3395,630.016,0
149.93518,-914.59576,1
-70.35614,924.40247,0
917.8187,712.19434,0
728.645,788.84045,0
-809.60077,431.70044,0
180.75562,894.8793,0
417.18762,-32.256958,1
261.3435,958.421,0
-209.8747,-367.4654,1
-757.7079,-891.4564,1
532.1749,796.6094,0
427.255,716.60657,0
-159.14899,772.9225,0
653.2097,410.3119,0
733.3331,-581.10596,1
-889.3847,-828.7841,1
-708.2416,-784.755,1
-182.31268,-349.4798,1
-378.25806,-901.94464,1
430.00085,-863.20276,1
-785.8723,900.55005,0
-25.160583,970.6311,0
-660.5737,-96.30298,0
570.40857,-375.01288,1
606.3468,-300.21918,1
-776.7612,156.4469,0
880.2864,340.69067,1
-607.1999,-718.7206,1
-615.4097,-427.2553,1
170.56177,941.6389,0
996.85315,-147.55658,1
-358.5749,-98.98126,0
504.4796,792.6321,0
278.6676,644.4071,0
-101.8183,-293.87823,1
69.234985,-342.57037,1
659.0375,-6.09906,1
-525.5757,-979.9177,1
-565.8058,267.64905,0
-698.29974,174.49426,0
-501.75223,301.33716,0
96.59558,712.48254,0
-38.21393,-825.7168,1
-240.6565,77.4917,0
-184.46399,298.10474,0
749.0984,186.83826,1
588.00745,-587.4085,1
-540.69934,154.01025,0
-353.52014,-909.4023,1
130.94604,527.0957,0
-14.368286,809.6328,0
16.22345,-241.75317,1
-274.9359,-772.0941,1
-586.8125,-19.586487,0
-523.57495,945.16016,0
-337.1654,591.4037,0
242.79224,-266.29236,1
233.15698,631.66455,0
577.4276,-7.3428345,1
610.4492,490.9973,0
-644.0333,8.402344,0
-123.65411,90.75452,0
-294.43842,497.0188,0
569.77454,361.89062,0
386.45044,-140.70648,1
-283.79254,-424.4297,1
-764.12537,-403.3089,1
752.3004,-118.138855,1
-838.7767,-583.3626,1
-517.78876,273.37158,0
608.7357,-301.91925,1
-827.4074,114.51807,0
-563.9564,-806.63245,1
426.45508,363.4364,0
-318.70758,110.04846,0
571.80334,-337.6198,1
848.5294,-953.6911,1
959.1494,-416.22528,1
-981.4964,646.2965,0
782.7081,-507.0721,1
345.9713,-703.3063,1
823.2875,724.72144,0
319.05994,703.4662,0
-143.41449,70.440674,0
533.1887,-232.20856,1
378.81116,-67.77777,1
671.5049,-177.24628,1
772.2483,926.43396,0
885.7429,997.4658,0
66.5863,203.62366,0
835.8677,242.86084,1
-952.4583,-698.4939,1
273.81885,383.47083,0
-377.4983,958.7815,0
246.12195,452.08997,0
-926.37994,991.41077,0
-257.91095,519.2982,0
-887.99854,-930.7018,1
-71.21753,-752.60266,1
-507.68698,-969.8373,1
990.87,-521.6095,1
355.36377,-771.297,1
-967.0492,308.21753,0
436.89648,342.99536,0
503.8866,-695.47095,1
-185.95892,46.387085,0
-832.87494,-207.13,0
-43.42151,-998.02295,1
-232.04535,-533.7877,1
508.37085,748.1057,0
-761.91565,-34.63855,0
-554.9862,-782.8982,1
529.8948,532.8358,0
-963.0283,-134.13873,0
-12.839844,360.39673,0
393.15918,-304.3333,1
535.9912,-169.51324,1
268.1355,-200.02344,1
-80.79071,494.40942,0
-713.21826,-497.25293,1
-300.6947,-664.836,1
773.5314,-363.82428,1
819.5985,630.42554,0
-31.065857,55.583252,0
-859.8404,561.239,0
574.52844,-899.5197,1
-445.4854,-395.42596,1
-712.2936,384.69092,0
45.102905,-297.0327,1
-728.5437,-965.26355,1
-650.08765,-777.947,1
349.5703,-705.49243,1
-210.33112,786.86487,0
-873.8895,275.58398,0
244.41248,-769.6315,1
198.62561,556.3872,0
-729.7588,-907.23895,1
167.8186,-680.3196,1
911.4623,-622.3446,1
-757.9367,-233.24261,0
-109.66174,-398.65924,1
893.3777,-342.0075,1
546.07214,-436.1062,1
242.15637,3.248108,1
-853.37164,-274.01172,0
631.17725,161.96765,1
11.437866,-407.16663,1
-804.9084,-88.3916,0
259.98987,86.74548,1
139.818,404.39734,0
-59.233887,532.43884,0
916.9552,356.2207,1
-203.07312,-415.8028,1
-488.45834,-702.2136,1
-10.390564,191.66772,0
657.18335,267.02673,1
-273.34546,-468.90515,1
950.7815,-66.96216,1
-65.97101,-278.6065,1
-440.20862,815.6765,0
859.1653,99.532715,1
498.14783,1.2699585,1
-190.10663,847.28796,0
292.6947,-446.28564,1
-890.4103,841.4884,0
-729.83844,-318.42627,0
788.6283,-257.52716,1
-334.5686,645.6124,0
534.1627,-459.46082,1
-714.9541,-622.47327,1
984.7294,47.75464,1
-444.398,-170.53302,0
-416.88977,152.56909,0
-555.10925,185.2727,0
890.34875,47.255493,1
-35.66284,-761.8341,1
-484.23456,-906.7239,1
-255.49823,475.98267,0
-367.72913,-492.74796,1
521.1056,-286.15515,1
423.23096,-369.7049,1
277.24658,475.50732,0
-253.4123,186.03369,0
-741.8236,748.4404,0
803.896,637.7466,0
108.210205,-775.9645,1
666.3867,522.5956,0
-24.953857,683.155,0
-862.8772,471.02478,0
-415.0276,798.56775,0
-382.23566,-488.02472,1
13.145081,299.6455,0
400.4154,-780.36206,1
156.32068,-818.97736,1
-880.5234,-724.95044,1
761.13367,-564.2526,1
975.3806,-904.0873,1
269.20862,-345.21643,1
781.5409,330.5995,1
-288.89722,758.5482,0
-112.20245,-782.625,1
414.27576,-887.4993,1
-401.9013,77.45972,0
-614.01074,-672.37787,1
827.1039,-459.37982,1
890.2378,157.96106,1
-570.14404,-505.4362,1
958.5204,-918.7627,1
-109.3844,-795.51434,1
357.46216,384.83752,0
871.4088,-433.3039,1
881.9989,-121.649536,1
497.7893,-959.6635,1
-248.95862,715.1311,0
-801.2289,-556.23474,1
-646.75934,-770.80054,1
-580.15845,507.27917,0
623.6741,-819.8827,1
592.4138,841.41003,0
-72.02014,-652.6928,1
370.037,-189.88641,1
-511.33005,-973.38934,1
-668.8705,-309.24854,0
109.05054,655.709,0
99.957886,457.83716,0
233.38855,531.35815,0
-847.96436,545.1024,0
-772.3398,-619.78345,1
447.0681,20.513184,1
-826.5752,406.37598,0
472.0266,-248.55292,1
438.06665,-637.47046,1
278.88232,-657.6837,1
-182.14532,-821.95905,1
-334.0105,-105.49463,0
145.96973,726.00964,0
-220.94415,968.56616,0
915.8528,-577.2512,1
-902.9054,521.1907,0
690.93286,526.9275,0
20.704163,44.56433,0
-145.00592,241.95264,0
-905.5265,653.2766,0
603.14417,-976.0047,1
-727.73206,-555.9557,1
-18.446594,-140.60553,1
-426.40198,-903.9153,1
-745.1688,-301.00055,0
-18.76654,-614.9515,1
913.114,723.34033,0
-505.329,-948.9955,1
-773.35815,-338.6573,0
881.0227,291.04517,1
-586.2014,-3.366211,0
854.3428,39.658936,1
209.30334,-430.68872,1
-833.6363,155.09595,0
902.43396,817.3789,0
406.06543,647.5283,0
760.8723,700.87695,0
182.45679,164.8888,0
163.96436,213.0658,0
804.3971,94.84473,1
739.8873,-693.1509,1
573.2451,846.4469,0
334.4231,50.950806,1
-631.4315,-857.43134,1
-265.26154,879.18677,0
-665.89404,-515.6727,1
-270.22375,-92.49585,0
-839.3746,-658.7373,1
-690.4358,-532.7156,1
-285.72778,76.12073,0
588.9519,-760.2621,1
-426.54108,130.67151,0
-613.0102,-324.95502,1
-585.7017,-420.9333,1
301.36548,741.2256,0
124.034546,-202.17657,1
-411.98132,-528.4501,1
-976.1174,706.594,0
189.25537,-734.37286,1
-352.86407,801.46484,0
849.3895,448.14172,0
-854.641,32.601562,0
-584.8604,-799.4689,1
-415.06787,470.63953,0
