% SVM Simulator Generated Data
%
% attributes count = 2
% vectors count = 1000
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-464.89587,-549.69434,0
-733.95386,950.56165,1
-679.7166,765.8616,1
545.6881,238.55957,0
-677.0882,-481.69574,0
90.629395,-651.4618,0
-399.60248,-536.1532,0
-233.0263,75.62012,0
563.8091,936.8716,1
56.018677,-31.91278,0
272.63293,756.01184,0
135.81201,-951.1391,0
-442.3402,88.44177,0
587.2505,947.1273,1
174.6936,-538.1134,0
779.9619,-353.78003,0
287.48743,162.7002,0
-879.8431,-616.0454,1
-763.49133,369.67517,0
32.094482,-365.81036,0
-229.15948,547.08765,0
796.75806,-446.5395,0
703.7307,-143.19757,0
185.79138,794.1162,0
298.00024,-351.9084,0
-794.3044,165.46606,0
595.7294,-554.84705,0
206.74426,267.0194,0
-622.66016,-723.8645,0
113.024414,922.9812,0
-531.604,-326.18573,0
594.4656,-985.25415,1
708.1515,-773.12024,1
628.67224,-861.7955,1
52.069458,-827.8618,0
-910.174,405.2677,0
1.2496948,-808.25385,0
753.8816,-335.92645,0
834.8967,315.93127,0
423.72803,429.93872,0
-32.33258,-369.52173,0
754.9447,-100.81946,0
161.94092,-650.4114,0
-197.76892,-439.47827,0
-704.2464,-261.4496,0
308.54565,123.86426,0
-79.65167,-643.01855,0
323.43884,753.7986,0
936.98816,-857.76166,1
-135.9784,-74.708435,0
380.88806,963.91296,1
-978.53845,611.5757,1
-479.17603,454.16272,0
-832.146,-30.66034,0
266.17578,154.95361,0
732.76587,-796.1024,1
218.8711,322.11926,0
395.70593,877.09424,0
615.89453,-912.5308,1
-519.77386,563.2809,0
-121.267334,-895.99225,0
-162.68604,-536.2269,0
-480.6737,285.65283,0
-429.81372,357.78198,0
-252.1919,-198.3288,0
579.5502,-902.1109,1
-714.49695,-902.6241,1
-902.1509,-249.29138,0
-392.62634,-613.54004,0
-867.035,-561.53424,1
121.29578,-203.33282,0
-943.6984,954.7914,1
-362.74585,149.33057,0
-552.87555,-691.8834,0
887.74744,-785.3644,1
-255.50867,488.6245,0
831.3982,-791.70526,1
260.0531,959.8004,0
4.967224,281.64746,0
669.46545,643.1902,0
-715.33105,806.02795,1
227.09729,495.0675,0
75.89697,363.5708,0
638.1842,166.27734,0
171.16296,530.4531,0
-225.48236,-308.39374,0
299.2611,-225.09991,0
-765.77673,-327.38947,0
-265.6292,-908.8911,0
-876.8717,997.90466,1
-757.9856,351.57275,0
-625.3247,-212.5025,0
109.489624,-215.88202,0
427.29004,-47.161926,0
-958.40076,466.29126,1
-857.43506,531.8102,1
298.20325,278.56604,0
474.57422,-212.00293,0
608.3247,-630.838,0
-409.91205,956.11145,1
-883.76166,-142.89655,0
891.4065,-529.43384,1
-101.8197,236.46448,0
-292.0105,531.74,0
434.01392,-256.41498,0
-699.9934,944.5674,1
-173.60278,-189.63751,0
256.39136,306.66528,0
-469.30762,650.5564,0
-628.0681,-171.71973,0
892.0685,-987.6295,1
652.3827,333.9259,0
-118.05347,179.40283,0
223.54248,325.65112,0
84.141235,-586.6128,0
-390.3147,380.46313,0
201.75623,-794.029,0
98.69617,-390.49542,0
139.09424,943.10913,0
725.70703,-575.8372,0
58.54419,884.4773,0
-216.01233,-565.63153,0
-279.38806,721.6367,0
711.29553,-53.082886,0
885.96594,402.51453,0
-298.15546,-763.27356,0
-408.4322,-603.91516,0
458.5039,-468.47943,0
-291.33398,119.97046,0
-873.208,-519.49084,1
348.6306,-134.98926,0
-358.31708,770.20984,0
-596.6886,-775.33215,0
470.19873,505.6372,0
-210.19537,-226.5271,0
47.208984,992.6631,0
-184.7832,-462.45612,0
78.817505,637.42896,0
485.21692,-338.46918,0
-672.83545,-178.73071,0
550.8723,-399.82446,0
-507.56876,-185.31525,0
621.4645,-850.99963,1
-627.7207,-938.52014,1
766.68787,-322.53296,0
-394.081,-505.7402,0
-310.16675,39.276978,0
-0.5526123,-64.94287,0
-225.73486,808.3114,0
681.0525,89.93994,0
-911.29834,-274.9624,0
-850.86694,-835.97064,1
782.5111,-462.96313,0
-346.66272,-296.56897,0
210.44165,778.6361,0
-712.02545,-86.83209,0
596.90405,458.45398,0
679.20996,405.27466,0
-916.8713,-889.99695,1
211.90271,98.795654,0
596.2258,-790.68854,0
-631.0955,823.5043,1
-862.62585,-425.13702,0
945.08374,-928.2576,1
807.0731,-961.02295,1
-349.70007,297.85217,0
168.59229,416.08118,0
-70.00061,182.2572,0
-603.54236,592.1548,0
709.06213,357.32068,0
65.01428,420.9536,0
-796.0214,-765.3078,1
402.81213,-963.5502,1
-49.608093,-221.06927,0
371.7616,-822.7486,0
757.49036,-660.2317,1
-974.29034,-832.4048,1
427.6919,-14.540527,0
-738.7084,-689.1681,1
-230.48737,-827.7623,0
294.61377,-374.8479,0
-316.53455,39.979248,0
-19.471375,87.6311,0
-84.71088,141.7528,0
-563.0331,-148.50433,0
-552.2413,995.011,1
-655.01025,262.84717,0
441.78516,484.7577,0
765.9343,-73.09943,0
139.4596,-145.89484,0
-649.7772,560.1299,0
-793.8422,785.21045,1
408.11255,-86.4635,0
615.76587,-96.33948,0
-529.1352,663.5862,0
372.5498,-68.0473,0
691.51624,-158.81195,0
115.1344,672.7959,0
-282.36438,105.417114,0
-37.477966,-979.46405,0
514.157,-32.489258,0
-160.97626,-720.91455,0
-977.4216,931.996,1
954.4359,-792.68066,1
513.5233,-554.36487,0
117.74512,-582.0287,0
22.85968,531.2019,0
127.09851,23.649841,0
357.27942,31.932617,0
-394.2702,753.6647,0
-186.5581,-496.17953,0
-657.01733,-842.0617,1
-24.51123,-33.245667,0
-548.4702,-30.650146,0
738.9396,-38.17517,0
466.33508,-786.557,0
-945.3181,-339.04297,1
-112.13806,-765.4992,0
-205.02637,136.34851,0
-388.5155,-550.4256,0
-385.92505,-678.9734,0
-812.99207,347.1266,0
-290.66534,-321.8368,0
916.6626,-985.46765,1
984.2555,-854.38654,1
-573.11597,-691.24585,0
-726.7315,533.475,0
538.65,677.08923,0
-991.35345,-773.7091,1
13.092163,589.9641,0
993.1959,777.84827,1
63.560303,565.3303,0
-211.94,785.3506,0
402.26404,844.2903,0
633.1802,-708.92535,0
-970.9264,-79.83411,0
788.65576,883.44556,1
-27.986877,328.29565,0
-281.54663,-344.20526,0
753.4335,-628.5745,0
633.6144,-770.1053,0
-517.1957,785.6389,0
570.31555,162.68811,0
166.51868,744.3473,0
-601.16016,228.46204,0
-922.94403,-947.0592,1
-57.28235,-694.95667,0
838.303,-95.7229,0
-266.9983,-108.5802,0
260.78516,145.26648,0
-169.15778,645.52,0
900.01416,647.3856,1
-377.7683,-245.28741,0
-186.89026,79.03357,0
521.99304,-562.0844,0
53.307617,145.22095,0
119.78528,427.03076,0
68.91968,-809.8397,0
-540.89246,-113.24963,0
362.76294,950.905,1
-139.0177,-94.39136,0
520.02905,-794.73627,0
-12.796631,427.48096,0
27.019775,-925.2113,0
683.7377,291.55835,0
180.12268,-176.27484,0
553.07166,910.15796,1
-176.13696,137.3772,0
-825.00385,-962.4474,1
658.8087,-931.57086,1
-571.4695,69.33679,0
424.57166,107.3385,0
-536.6178,-639.33215,0
390.09058,162.99377,0
527.55066,163.05676,0
-727.15845,-367.59192,0
-921.62103,953.2023,1
960.5702,193.302,0
387.5652,163.7002,0
223.59668,-529.00024,0
196.34717,624.27856,0
982.6948,311.1477,1
885.2759,-616.4564,1
-362.99927,-967.66095,1
-906.302,-994.9531,1
-541.6389,-262.19275,0
757.2704,-82.18646,0
-877.01917,532.92847,1
-872.46826,-49.702637,0
-921.81287,325.35242,0
-504.239,788.0602,0
-368.42334,-222.84137,0
-935.9455,-230.7027,0
401.76697,933.5128,1
-310.24286,-831.33887,0
84.42786,-930.1229,0
-924.9142,-81.336,0
364.21814,-620.0957,0
381.9862,579.26624,0
242.71033,268.72803,0
-777.0305,-709.9133,1
-945.6642,221.4331,0
511.87317,425.99915,0
6.836914,484.07495,0
-245.7992,725.70874,0
-790.33295,-875.3102,1
14.89209,-225.77496,0
-156.76843,-565.6814,0
-977.9189,893.98486,1
-626.1854,-916.8553,1
648.6033,735.69824,0
-466.5075,-35.577026,0
-641.2859,-841.1769,1
161.28589,238.95764,0
-884.31366,-647.09705,1
941.255,-264.5379,0
-283.34503,-425.17407,0
-424.80145,-432.78552,0
-445.71667,363.39783,0
992.0668,592.9994,1
400.5254,641.44275,0
-176.84601,-819.5969,0
965.964,726.9794,1
-438.41113,622.1129,0
-291.09314,-51.154114,0
576.59326,510.94055,0
-348.37445,-701.5263,0
-532.5657,396.87854,0
806.82544,-651.6576,1
118.94653,129.56519,0
-774.36066,528.97144,0
259.9563,-567.8766,0
-350.8617,780.13525,0
327.88892,-542.5947,0
-721.4426,578.3176,0
7.2999268,-654.7372,0
-724.86194,-608.7555,0
-62.98456,-870.46375,0
258.69055,721.6688,0
-229.97131,736.03186,0
294.68384,-923.59674,0
-977.7529,-732.159,1
642.8721,-567.0702,0
-39.36145,-708.0738,0
-113.82611,74.739136,0
158.28162,-579.0167,0
966.71704,-972.1167,1
283.27234,-872.838,0
126.67151,755.0541,0
190.39966,429.30847,0
-215.3078,-750.17633,0
-551.05273,-137.02972,0
974.4967,222.51672,0
-933.05896,972.48315,1
-869.69165,680.50916,1
-638.3932,457.03564,0
-275.4041,879.5763,0
677.76135,57.687256,0
-453.25446,-640.757,0
970.3108,-710.10645,1
-742.9972,573.9144,0
-856.01685,-793.83075,1
-741.7727,492.8971,0
-517.1239,516.09814,0
-101.29724,466.24463,0
504.35364,595.9794,0
552.4531,-360.3083,0
-863.7214,-812.0273,1
219.21216,-749.2272,0
243.52075,-81.309204,0
944.4038,249.54016,0
219.13257,159.75598,0
580.1874,861.1332,1
-392.45862,-792.0757,0
-808.1693,943.77625,1
-458.445,279.95605,0
-240.62726,-705.39276,0
151.93323,-602.5148,0
732.74255,417.07178,0
47.73291,-120.273865,0
-530.7957,687.44385,0
467.58276,866.92847,0
-384.79834,344.36047,0
-233.49872,65.0708,0
90.37659,-725.91003,0
-470.17743,732.3623,0
489.7422,-824.4221,0
795.2472,820.69995,1
-559.30945,363.14392,0
-384.00964,140.30432,0
734.72314,201.0326,0
-487.54877,-566.65967,0
899.4895,-37.153687,0
236.78088,-677.5989,0
-715.0721,-229.78082,0
-285.82056,-757.6831,0
-291.99927,-811.08167,0
-973.29407,668.8251,1
-766.2758,46.885498,0
869.8379,-774.7825,1
765.8917,87.56213,0
38.971313,578.1599,0
-220.90454,-816.8317,0
192.50208,-573.54675,0
-255.64545,6.433838,0
390.08716,-658.41077,0
-416.143,295.60828,0
-280.86578,-263.47302,0
-163.96765,146.40417,0
699.5209,819.19763,1
