% SVM Simulator Generated Data
%
% attributes count = 2
% vectors count = 1000
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
280860.0,861104.94,1
400490.16,859026.8,1
416262.2,81644.125,1
867249.06,370281.84,1
995145.7,169188.81,1
581260.75,760673.94,1
381337.88,532068.2,1
80391.03,285329.53,1
840093.2,563029.7,1
596556.5,661683.9,1
989173.44,554670.25,1
428557.97,9118.536,1
923158.06,29180.223,1
346337.88,501578.8,1
250306.62,894616.5,1
843265.44,702223.6,1
532243.4,388789.5,1
564890.4,68536.93,1
594709.7,415983.7,1
3976.4014,66487.1,1
987640.1,456158.84,1
585521.9,871258.56,1
402857.88,950979.94,1
605908.1,695800.25,1
235755.64,724011.5,1
111276.9,370936.72,1
570431.94,748677.44,1
665731.7,904068.75,1
804885.25,310134.97,1
146982.14,411555.06,1
804034.44,426042.25,1
178606.28,3710.977,1
940529.9,183306.66,1
500192.22,885985.44,1
635547.4,529295.9,1
639239.75,208285.88,1
49014.484,910662.94,1
517850.28,976608.1,1
373011.84,93894.3,1
214916.1,596098.6,1
779410.0,435921.94,1
966730.1,529427.4,1
459156.8,836659.56,1
621681.75,843881.44,1
334014.3,651119.9,1
210977.34,376904.3,1
961957.4,842848.44,1
964132.2,657897.5,1
884894.8,743771.4,1
112314.06,674981.2,1
168850.16,900194.3,1
95490.08,99064.91,1
155246.95,596613.9,1
291725.62,574017.75,1
515486.25,836206.75,1
275916.22,242949.7,1
551572.75,730346.2,1
682694.1,791614.0,1
300149.03,502263.88,1
152245.12,862724.06,1
407933.16,545021.1,1
524295.9,895541.7,1
936216.5,278283.44,1
367586.12,81438.31,1
222778.12,870003.4,1
210729.4,372256.1,1
686297.6,226006.64,1
314481.84,189204.06,1
963108.06,65651.195,1
652089.6,794712.25,1
125920.23,272180.97,1
831565.25,47136.355,1
789971.0,197133.62,1
56455.51,647457.5,1
790900.7,49176.25,1
866906.6,796152.1,1
813549.1,11042.142,1
305606.78,643222.75,1
734773.44,273819.97,1
405491.94,787972.75,1
706338.75,744707.94,1
311936.97,578486.1,1
982909.56,788486.1,1
186524.19,950929.0,1
288177.34,998384.0,1
40378.14,56730.156,1
83203.28,648723.44,1
998488.8,11414.394,1
424121.53,193703.19,1
90404.96,643367.0,1
249455.52,886957.9,1
585174.8,283086.88,1
830430.6,362071.34,1
1433.2288,259552.34,1
795832.8,822054.44,1
460092.78,942164.44,1
642158.75,260906.64,1
697180.3,902362.9,1
857031.1,55773.645,1
141981.58,1413.5305,1
839110.06,89884.58,1
718803.3,979057.3,1
606023.5,529407.8,1
618344.75,419677.53,1
870160.06,294599.22,1
170881.47,850396.6,1
441519.12,261132.31,1
55207.95,18042.924,1
84198.695,217300.44,1
528559.5,378243.3,1
870515.3,664856.3,1
56539.645,178990.97,1
812197.2,602617.9,1
716417.6,555914.6,1
55568.55,552609.6,1
987025.2,487132.3,1
185153.4,202431.19,1
129885.836,529010.75,1
260664.97,222749.45,1
157136.75,774372.5,1
64920.023,998296.9,1
501267.2,583691.8,1
645819.4,247522.39,1
913690.2,250605.61,1
651168.7,774092.6,1
764688.1,908625.3,1
156780.7,844767.7,1
889329.9,668284.3,1
634994.25,69787.71,1
345541.28,201077.92,1
472473.9,961796.06,1
987633.44,699463.3,1
993913.6,747501.4,1
524237.2,439872.56,1
224056.08,453729.53,1
854777.8,986163.94,1
764262.06,678258.1,1
781332.25,374185.38,1
978716.7,980837.1,1
892957.1,536158.6,1
404241.62,319100.66,1
294347.72,567403.75,1
686600.3,498652.72,1
89995.35,421520.78,1
583125.56,163470.27,1
992847.75,42518.53,1
589481.0,488908.3,1
210843.39,957540.3,1
498372.28,330015.22,1
820592.06,861773.44,1
789067.0,284569.72,1
119903.664,811849.8,1
72652.82,792237.1,1
137829.45,186543.98,1
964064.44,139508.62,1
289372.4,737861.56,1
623046.3,635.12195,1
403049.4,664668.25,1
953380.1,909596.75,1
762041.5,862860.94,1
846906.25,910258.6,1
549757.3,172702.92,1
177090.58,474256.84,1
111251.4,731355.5,1
234152.89,643828.4,1
728090.06,268826.78,1
122057.77,290756.56,1
187936.27,543525.8,1
243994.14,330836.03,1
308338.8,890364.25,1
355319.5,688778.94,1
673953.0,276877.34,1
841330.1,842282.56,1
316694.6,131151.69,1
800633.6,800055.94,1
744135.3,636439.75,1
248344.69,440965.5,1
703783.56,166219.52,1
240805.39,249099.52,1
364764.28,19112.184,1
11037.596,607475.25,1
113808.54,621512.2,1
277676.03,982315.9,1
12397.264,947001.1,1
713702.3,526310.6,1
66362.625,976619.2,1
207902.08,856037.06,1
850245.7,635850.06,1
951601.6,5773.5225,1
698231.94,805739.0,1
554904.56,884256.8,1
642543.9,674906.6,1
410347.1,825553.7,1
487753.47,926350.06,1
214615.94,249103.27,1
957600.2,974826.94,1
142733.77,760162.2,1
622544.4,767309.56,1
450904.78,474337.0,1
419471.47,447462.97,1
391036.78,802625.9,1
907669.9,531354.4,1
197806.66,372405.94,1
69452.734,104632.12,1
557021.3,317100.97,1
387564.78,961225.75,1
408939.9,662845.3,1
101823.09,509215.3,1
166171.27,144316.83,1
89276.875,775890.56,1
409735.62,373056.1,1
521539.62,777182.4,1
923890.6,901010.7,1
539846.56,101582.46,1
489360.6,415747.5,1
503820.4,573391.7,1
201679.81,981762.0,1
974891.1,454634.53,1
194461.95,958579.0,1
494808.2,788262.0,1
575543.44,22888.207,1
398708.12,91327.28,1
55112.5,472786.66,1
331756.03,834664.1,1
229130.97,825310.3,1
906466.2,807223.25,1
709586.1,593828.9,1
925426.5,764629.8,1
355365.62,981550.44,1
916298.1,476712.34,1
651841.06,156337.4,1
280645.72,639725.94,1
875565.1,737269.6,1
243363.23,928739.4,1
81841.375,53907.6,1
907203.5,850191.8,1
89308.11,815007.2,1
159196.06,944937.06,1
571094.25,784514.25,1
878541.2,321185.88,1
104549.79,214031.56,1
848906.4,472637.16,1
516032.72,818587.44,1
104918.9,805741.44,1
127741.43,246462.67,1
931048.4,353482.16,1
616122.9,173033.6,1
585002.6,689277.8,1
984957.2,299075.53,1
952224.06,136610.14,1
830823.5,811737.5,1
671063.7,18764.787,1
451282.16,89446.51,1
5738.865,799635.75,1
549778.56,748329.56,1
650231.4,681888.0,1
256965.3,412350.9,1
899874.4,431899.8,1
947869.8,999254.25,1
157490.31,926813.4,1
844092.25,628573.06,1
512595.34,213710.06,1
739009.5,741424.25,1
218363.45,680397.56,1
237780.38,407538.75,1
277757.06,237545.98,1
816802.25,322995.97,1
947473.4,338942.72,1
633151.2,472429.9,1
927130.4,2450.0444,1
487453.6,995051.25,1
193421.98,980842.44,1
523583.3,349692.2,1
917809.1,645078.44,1
282555.9,492220.7,1
672680.4,186717.64,1
496000.44,384095.2,1
206817.94,215133.31,1
563629.3,857533.44,1
352431.1,925888.9,1
18197.807,515755.72,1
273986.4,580150.0,1
395547.3,112028.76,1
151552.61,167283.69,1
831461.0,577784.0,1
553405.06,750861.25,1
415224.78,680914.6,1
216189.17,199125.89,1
779981.75,116463.48,1
693030.75,717611.2,1
659199.5,671308.56,1
320596.1,807005.1,1
196823.3,991123.5,1
294258.1,98541.984,1
579983.3,412845.2,1
174202.5,780173.9,1
173440.81,245116.28,1
45521.24,174525.81,1
723314.5,866686.8,1
671082.94,429169.47,1
318009.53,28556.879,1
406245.22,118064.234,1
783687.94,788721.25,1
361278.97,51109.63,1
855065.0,542737.75,1
253711.22,495628.53,1
16793.809,783982.25,1
692662.5,540257.94,1
155209.39,284376.53,1
157652.97,346162.9,1
231742.67,617578.2,1
789282.1,579708.0,1
54887.74,90109.086,1
182650.62,414723.5,1
825206.1,421663.44,1
820383.3,115283.11,1
545487.75,724885.8,1
386638.53,345476.1,1
594851.9,672237.94,1
231545.17,42999.684,1
696267.7,24183.3,1
422093.1,911524.5,1
298702.78,63810.56,1
382624.03,303692.03,1
903865.4,855190.06,1
902717.25,587293.25,1
177297.11,670210.1,1
366445.38,830645.44,1
810393.25,371377.53,1
439688.34,43436.3,1
919781.25,80.979126,1
57436.094,36336.496,1
495372.06,354115.88,1
519784.88,366495.03,1
789311.56,856846.9,1
665638.2,789626.9,1
785009.2,607244.94,1
617959.9,74777.875,1
892395.8,93178.68,1
328795.1,51009.484,1
774572.6,683760.25,1
221175.47,256184.42,1
797052.44,683252.0,1
543452.2,645753.7,1
919867.1,439025.16,1
666567.5,376946.53,1
988916.25,695327.9,1
447263.22,822047.9,1
284065.38,165167.7,1
948253.9,593509.2,1
876670.6,84443.99,1
258943.38,574486.8,1
800397.4,310574.0,1
916355.4,624023.7,1
327433.66,409250.03,1
397561.34,900501.5,1
630453.56,37636.938,1
517043.9,501175.9,1
950978.4,855272.6,1
70110.44,435578.8,1
990103.94,128171.516,1
989685.1,770322.1,1
598914.8,203145.5,1
367551.78,169369.25,1
14288.869,981156.0,1
173391.69,948155.3,1
821214.4,616589.56,1
142769.5,168029.89,1
535182.9,711709.56,1
351553.8,312374.34,1
225703.3,366178.25,1
221130.52,506400.6,1
840488.44,612466.6,1
266163.3,338078.97,1
990406.5,893173.1,1
713589.44,845860.7,1
791861.6,463757.75,1
240997.39,338862.78,1
973868.75,814965.2,1
476530.3,350964.3,1
878723.6,463257.4,1
553978.9,142827.56,1
174832.64,774906.6,1
4787.1514,889201.44,1
60963.086,770008.75,1
476279.25,860990.94,1
492903.62,246568.98,1
285533.44,692483.2,1
506282.1,918985.75,1
640980.6,60810.402,1
14078.328,685711.2,1
400983.25,944197.6,1
551190.6,611602.25,1
643363.75,930796.3,1
312267.8,644495.0,1
922094.75,958935.44,1
507902.22,634828.9,1
41137.09,217436.39,1
463192.84,744731.2,1
365717.47,915231.75,1
143636.52,909827.7,1
162175.28,45904.55,1
766280.7,621192.0,1
265875.06,320922.25,1
943080.3,929263.9,1
373581.6,898276.44,1
381442.66,226275.45,1
626124.6,660961.75,1
489013.2,84706.31,1
734142.0,340224.97,1
364860.66,119556.73,1
803184.3,907801.75,1
580350.3,640775.9,1
179486.55,315417.28,1
815162.4,621010.8,1
101270.37,850675.8,1
907106.56,346951.8,1
660525.06,51087.6,1
110613.016,957942.8,1
614835.3,423389.72,1
402036.44,967196.6,1
878972.7,917506.6,1
464203.72,786910.2,1
92647.78,477463.75,1
610952.56,198809.88,1
551032.9,785321.56,1
249764.64,716172.8,1
884407.3,687726.25,1
668978.2,768170.25,1
344553.2,719989.56,1
849481.75,706454.8,1
220333.12,537704.06,1
747235.94,671276.8,1
903220.6,55775.06,1
968447.0,483054.97,1
397420.1,573409.1,1
53728.133,849249.25,1
617613.5,186037.08,1
661119.2,336589.56,1
619302.56,363368.3,1
747411.8,773197.1,1
61174.934,619776.1,1
