% SVM Simulator Generated Data
%
% attributes count = 2
% vectors count = 1000
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
3398.2886,3558.5752,1
499.56628,8280.337,1
4630.503,5453.647,1
5691.405,-910.7692,1
4663.3843,7479.1387,1
2106.9043,8140.4307,1
2554.116,-920.68896,1
2798.4927,6848.8516,1
2171.6194,5994.2363,1
4252.5244,1705.5852,1
6929.4414,2291.675,1
7555.4463,8196.762,1
8266.687,190.05713,1
134.10193,4928.688,1
6012.2344,2826.023,1
6778.1367,4566.547,1
3296.15,6404.8613,1
8271.596,8253.312,1
-978.1582,8054.1055,1
-487.00385,6863.985,1
-4.814026,2979.4495,1
5864.27,1111.6292,1
2510.4905,1886.0432,1
-384.82556,4420.097,1
6605.823,8869.155,1
1912.884,-482.23785,1
137.89502,7288.0645,1
3062.666,94.94751,1
8353.327,-12.012817,1
-453.32935,781.1847,1
6148.816,1074.7114,1
6874.0474,7128.8066,1
381.3346,4459.5527,1
4874.733,-515.19055,1
27.187012,3610.1304,1
873.43835,4689.316,1
8839.382,8485.373,1
4841.483,3584.378,1
6448.443,6029.075,1
4338.3228,-144.73486,1
-263.56122,-826.7719,1
7133.741,1845.7874,1
3843.666,3228.2495,1
4501.8394,169.61743,1
2830.0747,8404.156,1
347.1317,4404.9683,1
-30.816833,7830.6133,1
2433.1821,6.402405,1
-859.11084,4512.719,1
1619.3955,3842.9482,1
2291.2322,1901.2715,1
8435.729,7364.1035,1
3185.8257,5091.178,1
5442.236,3280.7207,1
-900.6709,3201.5845,1
-329.47882,1738.1643,1
2231.993,5548.1865,1
5803.34,3382.5454,1
517.9536,56.1084,1
3504.7236,2949.2395,1
736.6256,2796.638,1
-693.8165,836.30444,1
3186.1846,5779.0024,1
7820.6855,8091.8145,1
5314.7983,397.28955,1
7931.258,3911.5425,1
1934.9077,1566.5222,1
5161.237,1199.8191,1
5584.532,2612.784,1
4366.3325,3951.8105,1
6167.218,3970.23,1
5434.826,5385.861,1
8710.903,7298.6963,1
1049.388,2337.945,1
1343.6467,1137.5366,1
2696.1506,1362.7021,1
70.79224,142.23315,0
2923.8362,7058.899,1
6093.837,8766.21,1
2645.8792,3463.607,1
1571.8894,4671.2075,1
1001.66016,4490.76,1
2204.2876,4791.4717,1
2429.1086,3358.1812,1
6111.588,7615.912,1
8318.093,3448.5688,1
1715.7974,8584.306,1
4656.174,8308.331,1
4205.3823,6862.517,1
3901.46,3847.5767,1
3660.23,-592.3938,1
1721.4343,7760.9688,1
4870.4087,6524.6245,1
8821.82,1870.5532,1
846.22754,4180.7827,1
7399.665,1186.0847,1
4761.7363,3667.5889,1
6678.014,7577.7773,1
1815.4946,4803.463,1
7523.677,5004.813,1
463.05164,3804.245,1
6746.7583,3928.3403,1
5899.2827,32.89978,1
658.7866,8364.121,1
2873.3447,5872.6597,1
6649.4043,6077.3687,1
320.69165,5653.7207,1
5521.7754,8194.736,1
5215.2383,8646.533,1
-504.00885,6541.819,1
1320.4241,6574.638,1
3355.936,-627.0528,1
6982.571,4008.8755,1
4842.207,-292.56097,1
5547.6084,5502.749,1
3481.8608,5926.8984,1
856.8662,4095.582,1
6386.9,4757.5483,1
7181.321,8790.047,1
7419.578,4388.0,1
190.31287,3467.5396,1
8113.751,8576.243,1
1408.4282,166.77136,1
5417.6675,8156.088,1
-747.1217,7365.877,1
7756.7373,-149.34369,1
6123.3794,4988.219,1
3264.979,826.9474,1
8113.1836,2488.9958,1
5357.0103,1092.9084,1
7643.5693,4013.649,1
628.5807,2182.8352,1
-33.239014,6289.996,1
-945.1756,7774.3545,1
5681.897,2047.8892,1
2841.5605,-709.38257,1
6717.323,6961.134,1
1836.115,3324.7705,1
-901.8489,5520.294,1
2216.3052,1688.1528,1
7808.667,4263.9224,1
6657.383,3685.0898,1
3622.8384,1739.6548,1
5862.8833,7487.547,1
1376.8328,7867.5166,1
7828.4863,8470.328,1
7347.086,5371.7036,1
1592.1577,5887.8975,1
6544.159,649.9889,1
1132.9783,5247.31,1
-331.75873,2845.8284,1
3155.251,5630.16,1
5236.8335,5433.138,1
6293.604,7807.83,1
4204.7935,3613.624,1
2126.988,2294.761,1
2475.5881,573.4447,1
-345.40088,3021.864,1
-773.75696,4245.9097,1
2292.9446,7462.5713,1
929.15137,5807.802,1
3392.3916,-256.5235,1
7135.5425,130.83313,1
8343.722,8143.885,1
4408.084,-271.352,1
6534.3555,-29.983032,1
4181.735,4023.6846,1
1360.0767,4216.009,1
-647.37244,5119.1245,1
8593.227,1679.2607,1
6100.416,3507.0542,1
5260.529,7106.099,1
4272.182,8466.883,1
4472.8066,6809.1,1
5579.6406,-460.05225,1
4775.073,4083.8682,1
2702.0515,5391.168,1
