% SVM Simulator Generated Data
%
% attributes count = 2
% vectors count = 1000
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
976.24194,533.1708,1
451.84473,-818.2894,1
-468.39978,-781.64496,1
-741.09735,329.27197,1
-951.2782,-221.24744,1
-580.16376,884.2682,1
814.68774,-809.0922,1
954.9404,-515.0834,1
-909.74255,-579.1074,1
-668.8085,-500.70087,1
266.36987,875.41174,1
-967.4552,-756.0615,1
-251.96643,-657.05383,1
81.28418,755.18896,1
83.73218,234.56482,0
177.96472,111.54651,0
297.9259,-923.38385,1
98.19348,-771.18365,1
386.18433,412.58533,1
-482.30444,-963.6002,1
496.93494,538.98413,1
532.8163,991.79565,1
-549.2316,830.21594,1
801.81494,1.7342529,1
-62.30475,-200.06122,0
-546.9949,992.19275,1
-15.303101,-498.47256,0
689.0034,-394.12964,1
100.37317,-612.1898,1
362.04968,804.52625,1
880.4369,330.3391,1
-296.43652,-485.08716,1
797.2632,-858.9733,1
-138.18994,880.8685,1
398.64893,-355.93665,1
934.74536,170.45483,1
-794.60156,113.60364,1
-219.18384,-64.14197,0
-775.7043,722.79224,1
48.69763,635.1002,1
182.48572,542.27747,1
-412.35474,598.433,1
341.23193,-418.56665,1
683.35144,-41.384888,1
-938.52185,-616.9012,1
-590.10895,963.1045,1
-829.4117,-237.28882,1
-203.4491,-52.47766,0
619.0985,-574.70483,1
479.03503,173.57544,1
-81.73822,398.84534,0
37.74475,-279.04968,0
413.62463,490.21667,1
321.5349,671.5222,1
576.8246,299.71777,1
713.54846,935.54944,1
-812.7493,-276.82178,1
516.4396,243.34973,1
-472.8346,-674.6588,1
-582.5083,-937.7111,1
-471.66473,486.00818,1
-660.1527,-502.26797,1
-814.8264,800.4429,1
894.2634,597.9446,1
488.8507,-141.88092,1
116.51477,906.75146,1
638.7805,-771.02563,1
208.76501,594.0936,1
352.34448,-746.0895,1
598.9337,43.450806,1
-279.33063,66.36047,0
-209.71295,-613.5754,1
247.72546,-835.6827,1
-805.81494,148.6062,1
-538.0331,807.3009,1
422.11987,-92.821045,0
-195.81097,-469.68347,1
358.88416,-340.46173,0
372.22876,-853.0652,1
746.9109,-536.46625,1
542.59094,-243.79578,1
-17.471008,833.7715,1
491.03125,473.18298,1
358.08252,364.74023,1
-801.41473,870.4557,1
79.56482,100.354004,0
-343.51776,-551.92053,1
47.62097,280.82947,0
-327.16357,841.98083,1
610.47644,-728.3485,1
935.9634,935.90405,1
-719.4491,-284.30304,1
803.6194,559.588,1
752.22205,-751.57227,1
664.4165,35.929688,1
-533.5944,477.38135,1
-342.87964,482.46765,1
438.31946,351.02283,1
-964.5138,-522.40295,1
98.00806,-471.6535,0
530.7494,469.51013,1
-511.10098,-90.55682,1
-309.169,-864.073,1
-672.1261,-901.4182,1
364.77917,-204.73254,0
151.0343,245.1748,0
-747.0829,924.98596,1
-947.4519,444.33215,1
-242.37952,860.37463,1
-630.3357,677.5326,1
246.60474,827.2156,1
-924.8106,-864.73016,1
-719.95135,604.2405,1
-390.5824,-312.6405,1
-645.15784,316.43823,1
-583.2856,252.92236,1
-716.3078,127.82153,1
-452.34607,-129.11517,0
-546.2223,-67.647644,1
345.81335,383.16687,1
-100.90289,-465.70807,0
459.03308,816.55774,1
372.60352,264.33032,0
198.15088,-214.396,0
418.67834,-504.57886,1
611.92505,-462.33398,1
-176.55621,102.32861,0
-444.9372,622.6255,1
-240.12793,-448.5282,1
496.97278,593.5542,1
446.59827,12.727051,0
852.0646,-369.0144,1
203.7998,-347.56866,0
208.12231,532.2523,1
-583.54376,96.904785,1
987.4796,118.69031,1
-895.2412,-51.612,1
796.4293,-212.67206,1
-446.60968,-809.629,1
-998.4972,670.016,1
-234.15088,336.8661,0
-83.04254,-338.22467,0
-613.0543,-739.7431,1
-603.9874,441.47156,1
-823.94855,-225.06903,1
589.0807,531.7527,1
115.63452,-741.01337,1
165.44006,-568.4863,1
804.0679,-136.12299,1
390.50012,-97.01996,0
-91.34924,-808.06354,1
-890.9873,606.8312,1
-855.7631,-285.68842,1
905.2893,-547.38806,1
494.81433,-343.10425,1
494.68018,-731.99146,1
-790.1629,-400.55328,1
-253.71796,689.395,1
-515.9386,613.14246,1
645.0397,-462.6186,1
669.0906,-595.58887,1
-27.888977,-635.0746,1
366.7898,-362.05444,1
-484.4312,351.89758,1
819.1792,379.39575,1
219.21423,-731.1841,1
636.3739,428.3058,1
-164.51819,-156.20453,0
-906.4143,-795.5561,1
-630.8816,540.58813,1
980.1605,805.7494,1
-118.480286,-508.08838,1
298.07312,-126.29913,0
71.3147,131.09998,0
984.2594,-18.014282,1
454.98804,-73.56842,0
270.614,-593.0676,1
-57.96411,546.322,1
-702.56055,-656.7594,1
-867.64685,769.895,1
160.58203,-103.87286,0
-240.74884,-493.72513,1
699.44446,-488.91968,1
-640.28754,-602.73126,1
22.519592,-105.00531,0
474.18787,-348.0597,1
-980.96014,937.537,1
461.44678,-2.1015015,0
919.7926,659.171,1
-640.3054,-67.041565,1
-652.89624,-207.65247,1
-866.6281,822.15515,1
-766.55475,-755.0552,1
115.75806,808.9237,1
-509.92554,-599.8797,1
-509.3014,-4.416687,1
-628.43176,974.3169,1
252.4851,-102.90808,0
-890.93384,-14.759766,1
-758.885,783.3695,1
-425.50897,274.20508,1
-429.1366,-800.6896,1
-510.03265,-17.673645,1
53.303467,-312.06128,0
11.113281,-602.39343,1
61.612427,-459.01465,0
-610.16785,670.05286,1
691.20483,-737.5056,1
861.6853,-965.4685,1
42.4386,354.89673,0
904.87854,386.14807,1
-15.658813,23.312195,0
582.3512,-679.48047,1
-145.99432,-557.3247,1
-194.59479,-918.61884,1
-795.48724,343.60242,1
-953.23145,250.55115,1
934.93396,-153.24792,1
-717.0597,470.3518,1
-80.822876,-288.2489,0
760.114,-993.83234,1
596.1388,-534.40466,1
554.9341,-463.10614,1
-108.17328,-763.2455,1
-159.21002,203.61194,0
-685.1745,-454.9549,1
272.3069,-348.09497,0
99.676025,-216.34222,0
965.14453,-429.19867,1
-131.55377,678.5592,1
-824.83136,61.41736,1
438.96997,621.8113,1
970.5154,60.94629,1
128.93848,-550.81683,1
942.01636,-997.28265,1
188.22778,-31.243225,0
311.9121,-89.37201,0
-162.44781,-653.9441,1
677.7285,206.33264,1
-200.26666,-687.4437,1
67.648926,650.145,1
180.58154,88.26404,0
985.6643,-958.3065,1
-910.4145,-104.625244,1
689.23926,-426.05603,1
-513.6879,-11.142456,1
69.18262,-935.7152,1
-603.3799,241.13208,1
-809.1333,-321.0545,1
863.4955,491.83948,1
807.8916,222.09937,1
-219.48315,110.032715,0
-26.257751,578.5779,1
101.66675,514.9404,1
253.94312,479.20496,1
-170.59698,762.7892,1
980.6631,400.3319,1
653.6128,730.9929,1
-506.3172,-885.7603,1
147.26709,-82.64966,0
-623.917,-825.3526,1
-979.6915,420.7168,1
319.9702,451.64465,1
91.49402,280.9464,0
-552.9911,722.94727,1
358.63025,29.72754,0
-339.52124,-716.55035,1
830.8351,-959.7358,1
-79.96582,552.62756,1
632.16064,-937.4186,1
-792.70886,-260.5771,1
294.12585,192.56494,0
389.82312,-233.18066,0
125.39563,-553.33124,1
193.10022,-136.60278,0
-919.93835,100.55676,1
-945.64294,-503.26715,1
-358.33112,998.7688,1
-240.67023,653.5858,1
898.34753,-846.1658,1
452.2566,864.3976,1
-794.89655,127.07788,1
-138.51465,824.69946,1
-387.46948,919.69885,1
397.49072,-16.38977,0
-413.09515,-598.4762,1
157.05054,-950.3218,1
-545.1691,666.1704,1
-193.21246,6.9033203,0
-523.69336,125.178955,1
821.2383,-61.14984,1
-516.7184,-359.99542,1
-384.94464,726.3462,1
-383.51697,539.5845,1
-264.08704,514.3285,1
-148.50958,-17.472656,0
-525.86865,735.99243,1
-274.2613,796.798,1
996.9917,437.46143,1
-38.663147,-333.90125,0
-569.8336,-336.21503,1
524.2899,330.97754,1
185.64111,-252.85468,0
-931.08466,-665.9796,1
274.96082,480.73096,1
-313.05084,-237.68555,0
348.58057,366.81592,1
414.03894,-573.30383,1
766.5624,395.16064,1
-957.9749,-33.873596,1
-867.197,137.92725,1
443.61414,476.86218,1
414.44006,-660.1183,1
836.7512,-560.07446,1
20.029175,637.7334,1
-800.79846,-43.305542,1
-975.4552,-439.9596,1
-610.4447,-398.7287,1
-893.796,539.1846,1
439.0719,-440.38873,1
699.57117,309.505,1
949.48206,149.2229,1
-628.6494,770.7488,1
565.07336,-700.4216,1
489.7307,163.58093,1
-916.9185,-877.7976,1
885.0925,233.974,1
-75.38031,-689.26685,1
389.35217,-44.128662,0
-590.9242,785.08167,1
-106.84186,-663.39813,1
558.1135,730.1376,1
-125.38257,-152.90271,0
1.1170044,978.30505,1
230.1781,-900.95483,1
962.11694,-453.52606,1
677.74915,533.68604,1
278.94812,61.86194,0
-995.9098,92.04224,1
938.5807,-202.50421,1
-7.039856,-896.05536,1
-291.72034,86.91821,0
997.46204,-36.699036,1
100.446045,999.0459,1
809.4789,549.6273,1
129.69482,-672.0764,1
731.0464,810.94385,1
103.93237,-811.54614,1
566.9617,440.7118,1
36.895508,-191.99597,0
-365.12018,161.56848,0
-822.18085,-534.8733,1
-171.39429,771.1959,1
-375.3985,-49.54767,0
272.23755,-189.26654,0
20.040161,411.14392,0
-832.7251,-516.2727,1
-73.58453,989.1312,1
61.75769,-716.3156,1
631.8983,-725.3301,1
959.9502,680.8782,1
-137.03345,270.59875,0
-556.9531,-825.8686,1
