%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-83.35559,-544.3665,0
859.4508,511.4281,1
235.09277,-46.4104,0
-761.42145,-913.9251,0
514.8772,808.1749,1
394.64575,-160.32056,0
187.26929,-128.59808,0
249.59778,135.13574,0
523.2582,-83.892334,0
516.63367,-712.34204,0
-792.27277,193.5249,0
0.633728,-419.67065,0
-848.0847,-984.53345,0
495.7882,818.69995,1
871.8574,-324.36108,0
-539.33704,755.5497,0
856.2086,73.42639,0
-222.10822,47.00952,0
5.052185,-485.18402,0
595.1398,793.81384,1
442.00244,338.963,0
495.932,176.53345,0
-214.89093,-744.7776,0
-936.6002,-788.78235,0
-692.22095,-425.69922,0
-723.0574,-768.04877,0
329.13135,878.5138,1
-878.7337,-650.5878,0
-356.0957,-900.04236,0
289.20117,839.5908,1
-164.7616,-538.265,0
924.167,-815.5872,0
-90.63953,-713.7971,0
-24.905151,-683.916,0
-150.60193,-714.4628,0
926.07776,509.55408,1
-593.7434,623.73755,0
414.96863,322.57422,0
727.6937,775.525,1
569.6024,0.4025879,0
272.42993,6.4109497,0
767.2665,842.2877,1
-135.66241,159.54626,0
962.5043,169.4403,0
-287.54944,358.78638,0
730.2804,739.28125,1
-244.25464,223.7362,0
-264.00037,718.33044,0
-212.6579,241.36731,0
470.81604,656.1809,1
-529.0189,-949.87115,0
780.126,-704.4199,0
583.3307,566.29785,1
-34.90741,-491.28024,0
-401.11243,118.64966,0
51.499023,-832.59076,0
-920.0663,56.348877,0
-802.8154,-665.1072,0
-757.78644,-343.70148,0
-851.2314,-190.35834,0
537.70447,-419.997,0
-839.67926,-243.46368,0
129.0509,-383.66064,0
851.089,928.42786,1
-274.0606,-4.5498047,0
106.35217,811.14795,1
-588.1072,-829.69403,0
-685.08746,917.61426,0
-189.33392,636.3085,0
-11.298523,-588.2427,0
-775.3716,95.63867,0
124.42212,-739.4301,0
-776.7789,71.878296,0
544.1057,-807.33746,0
-432.2179,-58.23761,0
-109.086365,884.2838,0
-670.269,-725.2512,0
958.4668,-1.1583252,0
-407.6856,-642.57947,0
-403.5586,973.54517,0
221.8097,-171.4386,0
-437.8806,-223.1452,0
852.2942,462.07556,1
377.03748,-746.9802,0
448.78394,308.75073,0
499.83118,125.047,0
596.7549,-355.81012,0
940.82104,-754.96655,0
-988.2413,469.0686,0
820.8474,-739.1338,0
-328.951,669.1986,0
316.3053,510.87634,0
439.8385,-633.2907,0
-65.70941,663.1074,0
98.01099,479.98804,0
126.21875,383.4408,0
268.81104,58.843384,0
-124.76959,146.89624,0
-90.75696,572.6904,0
-917.84796,199.0039,0
742.61145,3.3775635,0
-673.2656,629.2245,0
-703.16504,-669.38995,0
895.34045,-464.0313,0
