% SVM Simulator Generated Data
%
% attributes count = 2
% vectors count = 1000
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
735.28186,-539.18646,1
463.82214,-815.5474,1
-99.14484,281.8578,0
649.2344,-783.1017,1
-23.94336,642.7257,1
485.96057,-745.5822,1
-850.9178,989.29834,1
570.69104,494.96472,1
-609.60547,82.61084,1
-319.7505,955.322,1
831.3667,-541.0263,1
-632.9109,-160.23773,1
618.2693,681.06384,1
494.516,-711.66736,1
467.73706,30.441284,0
-834.6819,-453.18085,1
995.55176,90.76636,1
374.42517,680.52026,1
-701.21484,-467.66974,1
155.68079,-903.4596,1
-757.95514,-667.6677,1
994.75964,344.38916,1
-568.2289,-348.3329,1
844.7184,932.25525,1
-41.763733,637.81726,1
-792.3823,-773.6049,1
-356.89996,534.76855,1
435.11072,893.6605,1
751.0781,-345.30127,1
652.843,-197.73395,1
-92.51611,-997.4854,1
527.9635,813.4712,1
309.1079,-356.85602,0
-524.0013,476.93738,1
-775.90045,-737.1864,1
-157.20343,-714.90784,1
247.22278,-200.6239,0
99.197266,846.9131,1
-189.94281,503.07275,1
150.54419,-890.8768,1
41.41992,337.95154,0
-509.9007,582.86646,1
-768.50977,245.4851,1
114.88086,426.50867,0
873.81433,-534.239,1
874.3949,-809.70734,1
542.5803,847.9479,1
237.18506,-953.8543,1
708.24854,-119.4339,1
337.0774,406.02588,1
-997.1708,-966.57874,1
600.45215,-25.23706,1
-583.1953,926.88574,1
257.8246,-511.56732,1
442.88953,830.5438,1
-392.52814,656.88184,1
-722.46655,-957.9578,1
25.798462,159.09448,0
849.2688,808.31445,1
408.57874,932.6743,1
663.7102,-374.81787,1
979.177,453.79248,1
-761.7826,987.6542,1
214.29187,-778.4726,1
-755.067,-37.91681,1
-985.2712,-759.3935,1
389.11353,-687.3396,1
188.15454,939.1294,1
-479.62756,-661.44116,1
812.74524,-337.0595,1
507.6576,64.36658,1
115.08606,-344.1123,0
4.489685,975.2749,1
122.64099,265.28748,0
-610.8103,-900.1816,1
540.5587,4.4940796,1
-114.47009,916.7897,1
-945.464,-940.454,1
-847.56,-700.7194,1
-424.0863,-155.55426,0
-522.8904,-492.37006,1
-177.86816,289.70093,0
114.02783,104.3855,0
65.12549,-308.66107,0
-716.79565,-411.78424,1
882.194,152.6814,1
874.0193,-469.9629,1
-691.6696,-81.25604,1
996.85425,43.44641,1
-84.046875,233.20715,0
182.85718,-467.11792,1
37.429077,740.4768,1
252.89758,-163.24023,0
597.7385,-89.56201,1
659.9757,119.16077,1
-160.92218,481.078,1
-544.95593,162.47803,1
596.15454,-505.76407,1
934.41235,74.75073,1
720.3793,142.31274,1
-502.39728,849.2521,1
753.11365,348.8551,1
-722.27124,700.21497,1
-987.41394,773.5032,1
-297.82507,-352.583,0
-113.96069,761.8707,1
299.55396,-566.33264,1
308.13,653.5067,1
-210.37415,-466.92926,1
158.54907,816.1598,1
776.0626,744.2687,1
626.2886,-207.84717,1
207.64722,-338.31042,0
464.93237,22.74585,0
-818.30035,179.16418,1
-497.19882,-241.05121,1
-365.77765,104.09216,0
-226.26526,-27.679382,0
-5.5351562,-53.323547,0
-801.2505,-653.12964,1
977.30774,997.56396,1
875.7606,763.25525,1
345.06958,918.56604,1
724.0116,-920.95355,1
-308.9563,-755.0439,1
-518.1921,463.91296,1
-919.7226,434.1709,1
-129.39581,66.15271,0
728.80334,394.5703,1
115.44629,-632.9243,1
810.7429,-210.76068,1
951.2256,-777.6749,1
953.39844,-166.35803,1
746.1522,-705.702,1
13.659363,-207.73279,0
438.3109,-652.5933,1
324.7473,-71.765564,0
608.11255,708.0,1
760.5282,-728.8474,1
-801.08813,-916.65985,1
-314.67548,242.35791,0
150.00964,889.1122,1
140.36365,-87.01947,0
520.71606,252.51782,1
-536.3014,469.12244,1
561.1011,938.0847,1
-51.35547,-680.24994,1
-375.48584,585.9027,1
116.47485,206.74243,0
818.90466,-142.92786,1
-287.67523,662.85583,1
858.43176,348.73193,1
-371.04675,212.19897,0
703.80334,471.1095,1
621.21704,-180.86224,1
-730.76465,-128.38348,1
-105.18524,265.3789,0
725.8811,446.08862,1
436.05994,-628.69,1
-253.974,-505.15143,1
295.14832,-723.5022,1
409.3031,161.349,0
-56.416504,-644.4177,1
-568.3664,-66.27112,1
-702.8678,-230.37762,1
879.55164,-305.30396,1
28.882568,-860.71326,1
-402.9759,-427.27203,1
-607.32104,-624.8956,1
198.83203,-322.34253,0
935.4142,-688.6786,1
-325.96918,-303.70758,0
-802.6389,463.73755,1
394.95935,-721.20734,1
-217.07214,968.2239,1
641.72473,-835.89087,1
-970.0737,-444.5487,1
-370.96155,-927.13464,1
913.6439,278.688,1
-538.26587,538.6405,1
792.71594,635.35205,1
-552.7478,-946.30634,1
136.99133,709.3334,1
757.827,172.74194,1
-526.7001,-990.0734,1
-437.93317,548.48914,1
443.21704,-205.45447,0
435.06946,-734.82477,1
87.63965,836.2191,1
-891.8301,-708.5027,1
-743.81995,-166.80713,1
433.87024,-608.1697,1
