%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
111.020386,870.3635,1
218.87805,59.92505,1
-147.27063,-711.4481,1
310.39258,139.77539,1
487.03577,-404.85333,1
144.20996,-325.7992,1
-445.91394,681.52795,1
-734.49457,-225.50537,1
-404.78882,825.5493,1
-630.062,508.859,1
700.47644,-712.01697,0
206.22766,-353.66473,1
458.19592,143.52612,1
581.16724,-612.23376,1
-655.4412,8.047607,1
849.9415,-558.23816,0
-453.41003,-393.03595,1
10.956177,-881.90784,1
-770.74725,-24.669373,1
323.2052,987.8845,1
337.56995,-511.5609,1
-774.46387,99.45752,1
167.22705,-107.582214,1
260.99768,-259.42676,1
-857.80774,37.53174,1
-304.2151,-697.6549,1
-494.52942,-887.41705,1
-428.87555,-73.00714,1
-40.814697,837.0149,1
-962.2315,-688.91473,1
-317.24115,288.0298,1
-3.4017944,287.86865,1
-386.95667,-176.7738,1
305.16223,626.72974,1
-612.1714,-95.02637,1
108.8042,-135.20447,1
934.2346,540.9374,1
216.36462,925.1255,1
326.07263,-474.12347,1
-135.73492,-222.09528,1
239.33667,703.0338,1
699.1162,-534.4989,1
102.56799,-940.8517,0
357.81653,-560.8013,1
-131.09003,-374.68512,1
635.4353,-655.1212,0
229.24976,-123.37396,1
-94.993225,146.86719,1
-959.07556,606.73,1
-810.3164,793.62317,1
764.0419,99.1438,1
86.53186,-494.1021,1
777.5497,825.3616,1
602.5748,-792.55853,0
-410.23993,870.50635,1
-112.4798,620.2938,1
-836.8788,-179.53296,1
833.93774,111.14551,1
840.59607,940.1786,1
564.47705,502.20837,1
-308.90216,130.89319,1
937.0469,-250.5108,1
-516.0009,-624.99677,1
372.7046,643.31287,1
-42.181152,160.17542,1
547.3325,500.3938,1
-434.23663,720.25854,1
787.0056,-806.292,0
460.8767,-161.3667,1
-631.7163,805.87305,1
126.13806,-569.629,1
348.4884,693.69116,1
-240.08429,152.77686,1
-962.644,-184.02832,1
-705.23065,889.5919,1
770.28076,-196.3067,1
757.67065,112.33325,1
254.69653,-558.97174,1
-427.71277,842.9542,1
434.96863,-22.303406,1
-640.94354,-774.7897,1
557.4984,-992.42365,0
-193.64807,-442.18115,1
916.5707,525.447,1
-733.8769,50.704468,1
622.7992,213.19568,1
-130.03027,-463.67572,1
659.8616,8.772156,1
-833.31396,-98.72937,1
-518.46826,575.62573,1
549.8922,99.0531,1
449.85645,417.31897,1
-925.55334,-736.8374,1
-473.35535,71.4552,1
-347.08954,660.2258,1
-195.73163,-930.9774,1
-921.5853,-993.7411,1
698.1017,159.69824,1
-162.1416,-985.26416,1
-78.24719,-319.38098,1
259.4442,953.38525,1
-272.42706,885.5718,1
181.13538,-542.6621,1
-681.24963,553.5143,1
31.6969,879.4464,1
825.6327,259.78528,1
-16.4375,54.302246,1
787.7406,320.32275,1
666.84424,-489.31903,1
694.27234,608.6548,1
-173.61572,887.84656,1
809.71936,197.38647,1
258.82166,-405.6502,1
-752.4544,-909.6436,1
-615.7715,-406.33984,1
-946.2876,188.58936,1
-113.05298,-390.828,1
-76.84656,72.628296,1
2.8361206,-988.1702,0
96.13806,-814.2238,1
-764.7843,-813.1797,1
-32.213135,-432.76343,1
549.3745,271.4823,1
-7.1695557,-588.9076,1
-574.4152,-185.21155,1
-420.9657,416.51562,1
-456.85376,-870.5445,1
836.53577,146.5542,1
323.05945,890.9437,1
-713.3289,-572.70374,1
-925.49414,-116.69043,1
932.6968,196.16272,1
70.39307,-299.92426,1
-543.86035,147.53479,1
519.7969,-321.00812,1
726.3336,-974.1249,0
-889.7851,382.75488,1
297.03577,-519.0464,1
560.1221,533.4678,1
-887.1632,-973.256,1
-547.60425,-533.1861,1
-740.5884,835.00793,1
511.75928,892.6299,1
-734.5156,-153.46112,1
444.4668,31.76233,1
-799.29126,997.48975,1
476.03516,-955.203,0
-387.50616,235.16101,1
802.9016,-923.55005,0
-793.8666,437.0819,1
316.46924,-789.8815,0
96.42407,-650.83484,1
-836.9245,-839.71234,1
445.28748,-776.82434,0
-28.998535,-373.8075,1
348.73755,-39.299988,1
-94.28601,-111.65747,1
-52.134705,-739.7378,1
107.1145,450.21313,1
912.3364,516.1802,1
-482.35712,-689.3843,1
-318.76794,32.213013,1
627.66516,-202.0409,1
-855.1155,-509.99817,1
-755.3473,-194.18121,1
812.6931,-448.24072,1
-964.765,739.9348,1
-64.27118,-21.384277,1
294.29028,-480.04144,1
-460.73053,710.4856,1
-837.1851,574.97754,1
-130.76929,980.2676,1
346.38867,930.04443,1
-632.2107,-275.3531,1
-721.365,201.64355,1
-32.67798,305.72144,1
629.1498,603.23083,1
-771.88904,-127.875,1
-927.0477,-92.31622,1
644.0968,565.27625,1
-681.4094,721.70544,1
-697.7134,215.83362,1
-465.3911,397.92395,1
-994.7483,177.38904,1
-480.8333,-556.3616,1
952.48206,-491.11218,0
225.17358,380.86,1
-874.813,-155.78369,1
583.38464,-329.4972,1
-369.53625,-23.153381,1
958.4783,534.2821,1
434.58252,-560.6113,1
28.216064,291.07947,1
151.46472,172.34546,1
-606.63684,170.23901,1
-148.7417,753.3274,1
-193.87372,472.45984,1
215.24426,597.42725,1
547.44214,-580.3436,1
-212.86517,41.418823,1
-811.47,68.3573,1
557.15186,288.88684,1
739.70044,256.9204,1
664.104,820.35693,1
-980.51483,-284.95844,1
612.00757,-938.0596,0
969.7395,184.74023,1
-928.3762,-142.03223,1
597.4396,685.2068,1
-926.38513,607.53296,1
-758.52185,899.6002,1
-801.1509,-198.17224,1
942.84143,-929.9129,0
-767.2876,138.59546,1
-160.87506,758.11707,1
-325.8888,391.98828,1
709.42676,-639.8678,0
-523.8163,780.56494,1
63.233887,364.61145,1
444.55823,703.119,1
-503.0044,994.5541,1
-169.66754,-598.52014,1
-565.3448,-899.79144,1
828.7694,-638.61633,0
-176.5091,-49.941223,1
-68.961426,-923.03687,1
874.1941,913.77905,1
375.15576,181.3584,1
-485.8094,-60.924377,1
303.60583,-114.594666,1
-134.20972,195.03418,1
658.9584,-831.692,0
765.82715,287.7954,1
-664.88477,228.66052,1
111.030396,-949.9143,0
650.65894,-668.87085,0
643.44604,64.33069,1
822.0952,-626.4331,0
682.80554,-200.21533,1
788.614,251.27747,1
267.8164,527.3109,1
-523.6781,409.60657,1
185.92798,-978.8489,0
-611.27637,-147.01355,1
451.2052,465.2251,1
271.56177,-681.98645,1
-67.483154,-47.793213,1
-476.04913,320.09448,1
39.3291,-503.17743,1
14.069214,347.64587,1
639.9678,580.5237,1
-993.4988,604.7893,1
-282.70538,902.8873,1
19.651184,392.93237,1
-340.68182,-764.1986,1
605.4757,473.58496,1
537.3408,59.69629,1
-719.8875,-430.79272,1
241.81958,6.7843018,1
132.81018,-464.1571,1
926.1959,-955.5254,0
1.8922119,-319.25543,1
851.53174,802.8334,1
530.3141,-799.85223,0
429.86072,483.16077,1
-100.29346,776.8063,1
-968.2513,-619.5374,1
590.61865,3.8544922,1
953.63074,210.79333,1
128.00769,491.01416,1
833.0708,-844.84534,0
-555.15,-738.8845,1
755.1715,814.833,1
233.073,-640.6395,1
-689.0652,-881.2334,1
449.83887,474.70154,1
948.45667,631.73096,1
8.537659,-187.83118,1
100.41431,682.8395,1
607.677,456.93005,1
776.38354,-732.9431,0
637.17993,-964.68317,0
576.1033,768.1238,1
150.43665,605.0116,1
409.87793,-790.5,0
1.7763672,396.03455,1
-395.10522,960.6321,1
-577.13745,-723.87146,1
531.3002,-390.94647,1
-452.1656,628.5912,1
-600.5314,-945.4652,1
695.8507,707.5565,1
459.96655,789.6964,1
581.0198,475.1808,1
-519.70154,-197.79333,1
-956.475,427.1433,1
-922.404,566.8854,1
382.0868,977.3214,1
-746.008,191.74084,1
916.72595,-400.54327,1
-688.50275,-59.83191,1
-977.8728,113.07959,1
